Year,Model,Units_Sold,Revenue
2023,Alpha,1000,30000000
2023,Beta,1500,45000000
2023,Gamma,800,24000000
2023,Delta,1300,39000000
2023,Epsilon,1600,48000000
2023,Zeta,1400,42000000
2023,Theta,1700,51000000
2023,Iota,1200,36000000
2024,Alpha,1200,36000000
2024,Beta,1600,48000000
2024,Gamma,900,27000000
2024,Delta,1500,45000000
2024,Epsilon,1800,54000000
2024,Zeta,1600,48000000
2024,Theta,1900,57000000
2024,Iota,1400,42000000
2025,Alpha,1300,39000000
2025,Beta,1700,51000000
2025,Gamma,1000,30000000
2025,Delta,1600,48000000
2025,Epsilon,1900,57000000
2025,Zeta,1800,54000000
2025,Theta,2000,60000000
2025,Iota,1500,45000000
2023,Alpha,1000,30000000
2023,Beta,1500,45000000
2023,Gamma,800,24000000
2023,Delta,1300,39000000
2023,Epsilon,1600,48000000
2023,Zeta,1400,42000000
2023,Theta,1700,51000000
2023,Iota,1200,36000000
2024,Alpha,1200,36000000
2024,Beta,1600,48000000
2024,Gamma,900,27000000
2024,Delta,1500,45000000
2024,Epsilon,1800,54000000
2024,Zeta,1600,48000000
2024,Theta,1900,57000000
2024,Iota,1400,42000000
2025,Alpha,1300,39000000
2025,Beta,1700,51000000
2025,Gamma,1000,30000000
2025,Delta,1600,48000000
2025,Epsilon,1900,57000000
2025,Zeta,1800,54000000
2025,Theta,2000,60000000
2025,Iota,1500,45000000
